id,title,description,link,image_link,availability,price,brand
1,NY Collection Petite Sleeveless Chiffon Maxi Dress,"You'll feel special wearing this bold floral patterned maxi dress, featuring a pleated neckline and a self-belt. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.",https://www.myacssstore.store/product/1,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/37913773_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,58.00 USD,NY Collection
2,DKNY Women's Surplice Neck Faux-Wrap Midi Dress,"Effortless sophistication defines this DKNY dress, featuring a surplice neckline and faux-wrap silhouette for a flattering, feminine look. The self-tie belt accentuates the waist, while the short-sleeveand flowing midi length create versatile appeal for day-to-evening wear. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.",https://www.myacssstore.store/product/2,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/38070423_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,129.00 USD,DKNY
3,Jones New York Women's Pintuck Trousers,"Tailored elegance comes through in these Jones New York trousers, pairing a mid-rise waist with a flattering, comfortable fit for everyday polish. Refined pintuck detailing creates a clean, elongating effect while enhancing the streamlined look. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.",https://www.myacssstore.store/product/3,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/37784221_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,79.50 USD,Jones New York
4,Calvin Klein Women's Floral Halter Neck A-Line Dress,"Radiate contemporary elegance in this Calvin Klein dress, featuring a vibrant floral pattern that draws the eye instantly. An A-line silhouette enhances the shape, while a halter neckline, sleeveless profile, and center-back zipper complete the polished design. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.",https://www.myacssstore.store/product/4,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/37896028_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,149.00 USD,Calvin Klein
5,CoffeeShop Women's Asymmetric-Button-Front Faux-Leather Coat,Add some edge to your outerwear collection with this women's faux leather jacket from CoffeeShop. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/5,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/36869892_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,109.50 USD,CoffeeShop
6,"I.N.C. International Concepts Women's Satin Ruched Midi Skirt, Macy's Exclusive","A crinkled texture updates the timeless satin of this side-ruched skirt from I.N.C. International Concepts. ABOUT THE BRAND: I.N.C. is inspired by fabulous women always bold, confident, and stylish. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.",https://www.myacssstore.store/product/6,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/37580126_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,94.50 USD,I.N.C. International Concepts
7,"I.N.C. International Concepts Women's Short-Sleeve Printed Faux Wrap Dress, Macy's Exclusive","Add some personality to your wardrobe with this breezy printed midi dress from I.N.C. International Concepts. ABOUT THE BRAND: I.N.C. is inspired by fabulous women always bold, confident, and stylish. Features Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.",https://www.myacssstore.store/product/7,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/37578408_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,114.50 USD,I.N.C. International Concepts
8,Reistor Women's Smocked Maxi Dress,"Soft blue florals on a warm yellow base a combination that feels bright without trying too hard. A sweetheart neckline and smocked bodice that fits without effort, ruffled straps, and a tiered skirt that falls with a natural, easy movement. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.",https://www.myacssstore.store/product/8,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/37692681_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,375.00 USD,Reistor
9,RARE Juniors' Floral V-Neck Lace-Back Short Flutter-Sleeve Mini Dress,"Capture romantic charm in this RARE Juniors' mini dress, featuring a deep V-neckline, short flutter sleeve, and a floral print for a soft, romantic look. The fitted bodice is designed with seam detailing and a button-down front, creating a flattering waist-defining silhouette. A lace-back detail adds adjustable comfort and delicate dimension, while the flared mini skirt enhances movement for an effortlessly graceful finish. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.",https://www.myacssstore.store/product/9,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/37987170_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,79.00 USD,RARE
10,"Style & Co Women's Shaping Pull-On Flare Jeans, Macy's Exclusive","When you want a little shape in your style, start by pulling on these stretchy jeans from Style & Co, featuring a flared silhouette. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.",https://www.myacssstore.store/product/10,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/37576927_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,59.50 USD,Style & Co
11,"Style & Co Women's Shaping Pull-On Straight Jeans, Macy's Exclusive",Starting your look is just so easy when you have these pull-on jeans from Style & Co. Their straight-leg silhouette styles for every season. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/11,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/37576963_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,59.50 USD,Style & Co
12,"Style & Co Women's Shaping Pull-On Bootcut Jeans, Macy's Exclusive",You can do anything and so can your wardrobe when you have these pull-on jeans from Style & Co. We love the hint of stretch they offer paired with a bootcut silhouette that fits into any lifestyle. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/12,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/37577289_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,59.50 USD,Style & Co
